Planet Name,AH
EPIC 220674823 c,12.520973131026443
G 9-40 b,13.734092380952518
GJ 1214 b,12.910380877463426
GJ 3090 b,14.449072042313423
GJ 9827 d,14.536482115946294
HD 135694 b,13.170933187022177
HD 15337 b,11.197555996504391
HD 15337 c,12.770774084134692
HD 191939 c,13.156915547243365
HD 191939 d,17.311675349830765
HD 23472 b,12.556627213896295
HD 23472 c,14.030708595449836
HD 235088 b,13.211029745464884
HD 28109 b,12.756890571042335
HD 42813 b,12.547286642234601
HD 73583 c,12.870344885874404
HIP 116454 b,11.79559606938541
HIP 29442 d,11.467515218135159
HIP 8152 b,11.611323894720798
K2-138 d,11.483670572871263
K2-138 f,36.28537422046429
K2-138 g,14.868190616729699
K2-146 b,12.90612796645944
K2-18 b,12.870083071485183
K2-199 b,11.243666286236207
K2-222 b,11.501928247952836
K2-229 c,11.79562033484058
K2-266 d,13.056915755623997
K2-277 b,11.326745530632943
K2-285 b,10.995737762941458
K2-3 b,13.45901706555071
K2-3 c,13.935811603204389
K2-32 c,12.94136013105114
K2-32 d,13.935044628972925
K2-36 c,12.589803610504259
K2-38 c,11.419954195587332
K2-73 b,11.185078404885832
KOI-142 b,12.348609952744479
Kepler-102 e,13.462968630508227
Kepler-11 b,19.75881196376652
Kepler-11 c,19.819719577045728
Kepler-11 d,12.98746314450216
Kepler-11 f,18.893745982488333
Kepler-114 c,13.895667319317848
Kepler-114 d,14.558769637273743
Kepler-128 c,12.853439765673237
Kepler-138 c,14.342373291115873
Kepler-138 d,14.335005832436615
Kepler-1655 b,12.524957980152053
Kepler-177 b,14.23498548183598
Kepler-19 b,12.238178964657441
Kepler-23 d,13.43510703842261
Kepler-24 c,11.203243187960028
Kepler-26 b,14.126732635192878
Kepler-26 c,13.763257727574421
Kepler-28 b,21.123408585011912
Kepler-28 c,16.36632319844178
Kepler-289 b,14.68577816649664
Kepler-289 d,14.24462641366936
Kepler-29 b,13.528189921607035
Kepler-29 c,13.611987326388391
Kepler-305 c,13.888082751587085
Kepler-305 d,13.279361691042618
Kepler-307 b,12.208466317460465
Kepler-307 c,14.222083122212771
Kepler-36 c,13.769762125246682
Kepler-454 b,12.816405420674393
Kepler-48 b,13.186363386121602
Kepler-48 d,12.909411117364911
Kepler-49 b,12.276522582765482
Kepler-49 c,12.803833076747587
Kepler-57 c,12.246078009456165
Kepler-60 d,13.196633161193578
Kepler-79 c,14.633800056698078
Kepler-79 e,15.860420413233
Kepler-80 b,12.721591507304641
Kepler-80 c,13.013647552270665
Kepler-80 d,11.013130210574992
Kepler-80 e,12.481792512082217
Kepler-81 c,14.014297969542213
Kepler-83 b,16.66539369634189
Kepler-83 c,16.91303634247616
Kepler-85 b,19.413773420668413
Kepler-85 c,17.574998113952585
Kepler-92 c,12.770156205061811
Kepler-96 b,12.091462012654878
L 168-9 b,12.349711267117836
L 98-59 d,15.607696554114577
LHS 1140 b,12.459942133596778
LTT 3780 c,13.240466194012761
Ross 176 b,12.84697976809922
TOI-1064 c,17.920072691797262
TOI-1136 c,13.023419595202347
TOI-1136 e,13.004824527501556
TOI-1136 f,12.83643682158191
TOI-1136 g,13.489367689305393
TOI-1184 b,12.361403576945946
TOI-1201 b,12.717708665205661
TOI-1203 d,12.715020837498129
TOI-1244 b,12.52041046178355
TOI-125 b,11.275398449722319
TOI-125 c,12.720888759142323
TOI-1260 b,11.580828308896606
TOI-1266 b,14.175002526694602
TOI-1266 c,14.025309615963867
TOI-1422 b,12.545668509527005
TOI-1437 b,11.369614920590982
TOI-1438 b,11.70824761276222
TOI-1452 b,13.103975908108971
TOI-1468 c,13.731854339261064
TOI-1470 b,12.138331493280395
TOI-1470 c,13.405124722853182
TOI-1634 b,11.158484016648194
TOI-1648 b,12.230439084120418
TOI-1695 b,12.221790694644463
TOI-1742 b,11.70807207299244
TOI-1758 b,13.854082389286354
TOI-178 c,12.28531306028237
TOI-178 d,13.618199083078608
TOI-178 e,14.598686396253433
TOI-178 f,13.520942246977123
TOI-178 g,14.69223682162013
TOI-1794 b,12.138403141471466
TOI-1798.01,12.458390503037512
TOI-1799 b,12.450009846387024
TOI-1801 b,13.275788339646954
TOI-2015 b,13.234019584895496
TOI-2136 b,13.377356278676741
TOI-2345 c,13.046399839763515
TOI-244 b,14.017824659954252
TOI-2443 b,13.819317938183138
TOI-260 b,13.420252881025815
TOI-269 b,12.826796815832436
TOI-270 c,13.38472945092891
TOI-270 d,13.74893223188501
TOI-283 b,12.654915592356272
TOI-286 c,13.86158577211711
TOI-406.01,13.247634084634576
TOI-421 b,12.334778966248646
TOI-431 d,12.624162961007325
TOI-4438 b,13.796875024606681
TOI-521 b,12.443026593777908
TOI-544 b,16.43461784249367
TOI-561 c,13.306455377165912
TOI-654.01,11.75863381064694
TOI-663 b,13.524319760710467
TOI-663 c,14.329623614573654
TOI-733 b,11.81470103453272
TOI-756 b,11.471556847488875
TOI-763 b,10.854535345998817
TOI-763 c,11.86690089139182
TOI-776 b,13.188114434392315
TOI-776 c,13.18164981640192
TOI-815 b,12.781427437337943
TOI-836 b,12.281727092516771
TOI-836 c,12.217096574151391
TOI-912 b,13.172783230884919
TOI-969 b,11.362281293325323
Wolf 503 b,12.129077963291603
