# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000209
  0.632060   0.000218
  0.654121   0.000216
  0.676181   0.000206
  0.698241   0.000227
  0.720302   0.000245
  0.742362   0.000244
  0.764422   0.000222
  0.786482   0.000224
  0.808543   0.000223
  0.830603   0.000266
  0.852663   0.000254
  0.874724   0.000260
  0.896784   0.000275
  0.918844   0.000280
  0.940905   0.000286
  0.962965   0.000293
  0.985025   0.000284
  1.007085   0.000272
  1.029146   0.000262
  1.051206   0.000255
  1.073266   0.000253
  1.095327   0.000299
  1.117387   0.000321
  1.139447   0.000296
  1.161508   0.000316
  1.183568   0.000319
  1.205628   0.000282
  1.227688   0.000264
  1.249749   0.000253
  1.271809   0.000265
  1.293869   0.000260
  1.315930   0.000275
  1.337990   0.000292
  1.360050   0.000307
  1.382111   0.000316
  1.404171   0.000327
  1.426231   0.000301
  1.448291   0.000331
  1.470352   0.000344
  1.492412   0.000283
  1.514472   0.000303
  1.536533   0.000299
  1.558593   0.000265
  1.580653   0.000321
  1.602714   0.000297
  1.624774   0.000321
  1.646834   0.000306
  1.668894   0.000322
  1.690955   0.000319
  1.713015   0.000309
  1.735075   0.000332
  1.757136   0.000321
  1.779196   0.000329
  1.801256   0.000310
  1.823317   0.000372
  1.845377   0.000305
  1.867437   0.000297
  1.889497   0.000339
  1.911558   0.000296
  1.933618   0.000314
  1.955678   0.000287
  1.977739   0.000271
  1.999799   0.000305
  2.021859   0.000318
  2.043920   0.000312
  2.065980   0.000324
  2.088040   0.000321
  2.110101   0.000310
  2.132161   0.000315
  2.154221   0.000308
  2.176281   0.000309
  2.198342   0.000333
  2.220402   0.000333
  2.242462   0.000332
  2.264523   0.000359
  2.286583   0.000361
  2.308643   0.000346
  2.330704   0.000358
  2.352764   0.000369
  2.374824   0.000353
  2.396884   0.000351
  2.418945   0.000357
  2.441005   0.000336
  2.463065   0.000361
  2.485126   0.000337
  2.507186   0.000334
  2.529246   0.000317
  2.551307   0.000315
  2.573367   0.000313
  2.595427   0.000355
  2.617487   0.000318
  2.639548   0.000359
  2.661608   0.000368
  2.683668   0.000398
  2.705729   0.000394
  2.727789   0.000341
  2.749849   0.000337
  2.771910   0.000368
  2.793970   0.000409
  2.816030   0.000400
  2.838090   0.000334
  2.860151   0.000290
  2.882211   0.000358
  2.904271   0.000321
  2.926332   0.000389
  2.948392   0.000330
  2.970452   0.000319
  2.992513   0.000302
  3.014573   0.000314
  3.036633   0.000326
  3.058693   0.000331
  3.080754   0.000370
  3.102814   0.000358
  3.124874   0.000384
  3.146935   0.000371
  3.168995   0.000386
  3.191055   0.000385
  3.213116   0.000411
  3.235176   0.000373
  3.257236   0.000366
  3.279296   0.000390
  3.301357   0.000373
  3.323417   0.000449
  3.345477   0.000427
  3.367538   0.000390
  3.389598   0.000366
  3.411658   0.000394
  3.433719   0.000372
  3.455779   0.000375
  3.477839   0.000398
  3.499899   0.000357
  3.521960   0.000370
  3.544020   0.000369
  3.566080   0.000371
  3.588141   0.000391
  3.610201   0.000358
  3.632261   0.000359
  3.654322   0.000367
  3.676382   0.000345
  3.698442   0.000333
  3.720503   0.000353
  3.742563   0.000354
  3.764623   0.000349
  3.786683   0.000342
  3.808744   0.000316
  3.830804   0.000328
  3.852864   0.000317
  3.874925   0.000324
  3.896985   0.000318
  3.919045   0.000316
  3.941106   0.000304
  3.963166   0.000315
  3.985226   0.000324
  4.007286   0.000340
  4.029347   0.000314
  4.051407   0.000309
  4.073467   0.000305
  4.095528   0.000303
  4.117588   0.000301
  4.139648   0.000285
  4.161709   0.000304
  4.183769   0.000311
  4.205829   0.000334
  4.227889   0.000303
  4.249950   0.000363
  4.272010   0.000534
  4.294070   0.000433
  4.316131   0.000413
  4.338191   0.000410
  4.360251   0.000377
  4.382312   0.000375
  4.404372   0.000349
  4.426432   0.000397
  4.448492   0.000387
  4.470553   0.000486
  4.492613   0.000462
  4.514673   0.000407
  4.536734   0.000398
  4.558794   0.000347
  4.580854   0.000332
  4.602915   0.000330
  4.624975   0.000316
  4.647035   0.000320
  4.669095   0.000310
  4.691156   0.000311
  4.713216   0.000293
  4.735276   0.000296
  4.757337   0.000311
  4.779397   0.000292
  4.801457   0.000299
  4.823518   0.000314
  4.845578   0.000290
  4.867638   0.000313
  4.889698   0.000323
  4.911759   0.000359
  4.933819   0.000286
  4.955879   0.000318
  4.977940   0.000303
  5.000000   0.000290
