# Wavelength(micron)   Transit_Depth(rp^2/r*^2)
  0.610000   0.000520
  0.632060   0.000525
  0.654121   0.000524
  0.676181   0.000518
  0.698241   0.000531
  0.720302   0.000542
  0.742362   0.000541
  0.764422   0.000530
  0.786482   0.000529
  0.808543   0.000529
  0.830603   0.000554
  0.852663   0.000546
  0.874724   0.000550
  0.896784   0.000557
  0.918844   0.000561
  0.940905   0.000564
  0.962965   0.000566
  0.985025   0.000564
  1.007085   0.000556
  1.029146   0.000551
  1.051206   0.000548
  1.073266   0.000547
  1.095327   0.000571
  1.117387   0.000580
  1.139447   0.000569
  1.161508   0.000576
  1.183568   0.000580
  1.205628   0.000562
  1.227688   0.000554
  1.249749   0.000548
  1.271809   0.000555
  1.293869   0.000551
  1.315930   0.000559
  1.337990   0.000566
  1.360050   0.000573
  1.382111   0.000578
  1.404171   0.000582
  1.426231   0.000571
  1.448291   0.000585
  1.470352   0.000589
  1.492412   0.000564
  1.514472   0.000574
  1.536533   0.000572
  1.558593   0.000556
  1.580653   0.000582
  1.602714   0.000569
  1.624774   0.000579
  1.646834   0.000573
  1.668894   0.000579
  1.690955   0.000578
  1.713015   0.000574
  1.735075   0.000583
  1.757136   0.000578
  1.779196   0.000585
  1.801256   0.000574
  1.823317   0.000601
  1.845377   0.000573
  1.867437   0.000570
  1.889497   0.000588
  1.911558   0.000570
  1.933618   0.000578
  1.955678   0.000566
  1.977739   0.000557
  1.999799   0.000574
  2.021859   0.000580
  2.043920   0.000579
  2.065980   0.000581
  2.088040   0.000580
  2.110101   0.000576
  2.132161   0.000576
  2.154221   0.000575
  2.176281   0.000575
  2.198342   0.000584
  2.220402   0.000585
  2.242462   0.000585
  2.264523   0.000594
  2.286583   0.000594
  2.308643   0.000590
  2.330704   0.000595
  2.352764   0.000597
  2.374824   0.000592
  2.396884   0.000591
  2.418945   0.000593
  2.441005   0.000586
  2.463065   0.000594
  2.485126   0.000587
  2.507186   0.000587
  2.529246   0.000579
  2.551307   0.000578
  2.573367   0.000577
  2.595427   0.000595
  2.617487   0.000579
  2.639548   0.000595
  2.661608   0.000600
  2.683668   0.000609
  2.705729   0.000608
  2.727789   0.000590
  2.749849   0.000590
  2.771910   0.000600
  2.793970   0.000611
  2.816030   0.000608
  2.838090   0.000588
  2.860151   0.000575
  2.882211   0.000597
  2.904271   0.000582
  2.926332   0.000609
  2.948392   0.000587
  2.970452   0.000581
  2.992513   0.000574
  3.014573   0.000579
  3.036633   0.000584
  3.058693   0.000586
  3.080754   0.000602
  3.102814   0.000597
  3.124874   0.000605
  3.146935   0.000600
  3.168995   0.000606
  3.191055   0.000604
  3.213116   0.000613
  3.235176   0.000601
  3.257236   0.000598
  3.279296   0.000606
  3.301357   0.000601
  3.323417   0.000624
  3.345477   0.000619
  3.367538   0.000606
  3.389598   0.000599
  3.411658   0.000607
  3.433719   0.000601
  3.455779   0.000602
  3.477839   0.000608
  3.499899   0.000595
  3.521960   0.000599
  3.544020   0.000599
  3.566080   0.000600
  3.588141   0.000607
  3.610201   0.000595
  3.632261   0.000596
  3.654322   0.000597
  3.676382   0.000590
  3.698442   0.000586
  3.720503   0.000594
  3.742563   0.000592
  3.764623   0.000591
  3.786683   0.000588
  3.808744   0.000579
  3.830804   0.000584
  3.852864   0.000579
  3.874925   0.000581
  3.896985   0.000580
  3.919045   0.000578
  3.941106   0.000574
  3.963166   0.000578
  3.985226   0.000581
  4.007286   0.000587
  4.029347   0.000577
  4.051407   0.000575
  4.073467   0.000574
  4.095528   0.000573
  4.117588   0.000572
  4.139648   0.000565
  4.161709   0.000572
  4.183769   0.000576
  4.205829   0.000589
  4.227889   0.000573
  4.249950   0.000597
  4.272010   0.000648
  4.294070   0.000622
  4.316131   0.000617
  4.338191   0.000617
  4.360251   0.000624
  4.382312   0.000614
  4.404372   0.000603
  4.426432   0.000612
  4.448492   0.000608
  4.470553   0.000636
  4.492613   0.000630
  4.514673   0.000613
  4.536734   0.000611
  4.558794   0.000595
  4.580854   0.000588
  4.602915   0.000587
  4.624975   0.000582
  4.647035   0.000584
  4.669095   0.000580
  4.691156   0.000580
  4.713216   0.000574
  4.735276   0.000576
  4.757337   0.000577
  4.779397   0.000570
  4.801457   0.000573
  4.823518   0.000579
  4.845578   0.000568
  4.867638   0.000579
  4.889698   0.000583
  4.911759   0.000595
  4.933819   0.000566
  4.955879   0.000580
  4.977940   0.000576
  5.000000   0.000573
